,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
82661,Tuesday,Fall,14,INGLESIDE,"ARREST, BOOKED",-122.42055675144243,37.71089458149139,10,CDC,far,Pre-School,117809,2
82226,Friday,Spring,21,TENDERLOIN,"ARREST, BOOKED",-122.41512783760777,37.77978706764948,6,CC,very close,College,117177,1
69340,Friday,Spring,22,TENDERLOIN,"ARREST, BOOKED",-122.412563218508,37.785785061938206,6,CDC,close,Pre-School,98383,1
73010,Wednesday,Summer,14,PARK,"ARREST, BOOKED",-122.45353456066002,37.76916629780521,5,IND,close,High School,103634,0
72810,Monday,Winter,20,BAYVIEW,"ARREST, BOOKED",-122.395622324587,37.7224336236684,10,PS,very far,Primary School,103358,1
71149,Friday,Spring,22,TENDERLOIN,"ARREST, BOOKED",-122.409853729941,37.7833862379382,6,IND,far,Primary School,101009,1
70304,Thursday,Fall,14,TARAVAL,"ARREST, BOOKED",-122.470359608661,37.7460753397163,7,PS,close,Primary School,99784,4
67440,Tuesday,Winter,16,BAYVIEW,"ARREST, BOOKED",-122.390416955474,37.7355926105862,10,PS,far,Primary School,95717,1
63752,Wednesday,Spring,19,TENDERLOIN,"ARREST, BOOKED",-122.41055128181002,37.78250255901021,6,IND,close,Primary School,90564,0
78629,Tuesday,Spring,18,SOUTHERN,"ARREST, BOOKED",-122.40340479147905,37.775420706711,6,PS,far,High School,111692,0
82443,Thursday,Winter,16,MISSION,"ARREST, BOOKED",-122.41022618689449,37.75513000341966,9,PS,close,High School,117493,2
72894,Tuesday,Fall,15,TENDERLOIN,NONE,-122.41379841586901,37.7856297942374,6,CDC,close,Pre-School,103473,1
77200,Wednesday,Winter,20,TENDERLOIN,"ARREST, BOOKED",-122.412224164736,37.7820729312029,6,PS,very close,High School,109593,2
72709,Wednesday,Spring,20,SOUTHERN,"ARREST, BOOKED",-122.40924767554701,37.7813987340892,6,IND,very far,Pre-School,103210,1
74165,Saturday,Summer,14,TENDERLOIN,"ARREST, BOOKED",-122.409853729941,37.7833862379382,6,IND,far,Primary School,105283,1
73821,Thursday,Spring,22,MISSION,"ARREST, BOOKED",-122.419671780296,37.7650501214668,9,PS,close,Primary School,104816,4
66353,Friday,Winter,19,SOUTHERN,"ARREST, BOOKED",-122.408068345148,37.7839916768161,6,CC,far,College,94200,0
82515,Saturday,Summer,8,BAYVIEW,"ARREST, BOOKED",-122.3879273876092,37.7427030847405,10,CC,far,College,117598,2
72646,Tuesday,Spring,14,PARK,"ARREST, BOOKED",-122.453534560634,37.76916629781029,5,IND,close,High School,103117,0
76952,Tuesday,Spring,15,NORTHERN,"ARREST, BOOKED",-122.433435097673,37.78890210835621,2,CDC,close,Pre-School,109207,2
76836,Saturday,Winter,14,SOUTHERN,"ARREST, BOOKED",-122.40942036456,37.7816150265786,6,PS,very far,High School,109024,1
75154,Saturday,Winter,14,MISSION,"ARREST, BOOKED",-122.413590819153,37.75814314083271,9,PS,close,High School,106669,0
64331,Thursday,Summer,13,BAYVIEW,"ARREST, BOOKED",-122.39125762534901,37.7327899367388,10,CDC,close,Pre-School,91368,0
