,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
18973,Tuesday,Summer,12,INGLESIDE,"ARREST, BOOKED",-122.423304635548,37.72266944630029,11,PS,very far,High School,27252,1
5795,Friday,Spring,21,BAYVIEW,"ARREST, BOOKED",-122.39214830030599,37.7306423400343,10,PS,far,Primary School,8388,1
1877,Thursday,Winter,14,TENDERLOIN,"ARREST, BOOKED",-122.415694922134,37.7825851968467,6,CDC,close,Pre-School,2628,1
21793,Thursday,Winter,22,CENTRAL,"ARREST, BOOKED",-122.412032359787,37.787885489615505,3,IND,close,High School,31242,2
13709,Thursday,Fall,17,TENDERLOIN,"ARREST, BOOKED",-122.41531796699199,37.7807179285998,6,CC,close,College,19748,1
839,Tuesday,Spring,17,TENDERLOIN,"ARREST, BOOKED",-122.415508242782,37.7816542806076,6,CDC,close,Pre-School,1165,1
15407,Sunday,Spring,17,INGLESIDE,"ARREST, BOOKED",-122.41167412088001,37.7187542939484,10,PS,very far,Primary School,22133,0
27620,Thursday,Fall,14,PARK,"ARREST, BOOKED",-122.453512911126,37.7686969786551,5,IND,far,High School,39430,0
20165,Saturday,Fall,1,TENDERLOIN,"ARREST, BOOKED",-122.416583456133,37.778659154150795,6,CDC,close,Pre-School,28990,2
27510,Tuesday,Spring,21,BAYVIEW,JUVENILE CITED,-122.397289683824,37.7496837059361,10,IND,far,High School,39271,0
17984,Friday,Spring,15,NORTHERN,"ARREST, BOOKED",-122.427019628495,37.7801921188688,5,CDC,very close,Pre-School,25833,2
18199,Thursday,Summer,20,TENDERLOIN,"ARREST, BOOKED",-122.41379841586901,37.7856297942374,6,CDC,close,Pre-School,26140,1
29657,Thursday,Spring,21,NORTHERN,"ARREST, BOOKED",-122.417367329727,37.7828626236813,6,CDC,far,Pre-School,42337,1
9170,Monday,Spring,14,MISSION,"ARREST, BOOKED",-122.418279075012,37.7498209864471,9,PS,very close,Pre-School,13185,1
21805,Friday,Spring,2,SOUTHERN,"ARREST, BOOKED",-122.41029351969699,37.7822305869807,6,IND,far,Primary School,31260,1
1508,Sunday,Summer,18,RICHMOND,"ARREST, BOOKED",-122.48237224581699,37.7667702165366,4,CDC,very far,Pre-School,2122,2
27017,Wednesday,Winter,10,TENDERLOIN,"ARREST, BOOKED",-122.40984944165501,37.78327552025671,6,IND,far,Primary School,38570,1
